	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
4083	Australia/VIC10646/2020	EPI_ISL_562712	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	MDU-PHL	Seemann et al
9973	Australia/VIC18010/2020	EPI_ISL_779622	Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al
10054	Australia/VIC18114/2021	EPI_ISL_877564	Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al
10067	Australia/VIC18132/2021	EPI_ISL_877575	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	MDU-PHL	Seemann T. et al
10071	Australia/VIC18147/2021	EPI_ISL_877578	Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al
10297	Australia/VIC2124/2020	EPI_ISL_480727	Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al
10350	Australia/VIC218/2020	EPI_ISL_419913	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al
10769	Australia/VIC2640/2020	EPI_ISL_521486	Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al
15040	Australia/VIC701/2020	EPI_ISL_426878	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Caly L. et al
18705	Austria/CeMM0867/2020	EPI_ISL_583732	Dr. Gernot Walder GmbH	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
18706	Austria/CeMM0868/2020	EPI_ISL_583733	Dr. Gernot Walder GmbH	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
18709	Austria/CeMM0872/2020	EPI_ISL_583736	Dr. Gernot Walder GmbH	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
18710	Austria/CeMM0874/2020	EPI_ISL_583737	Dr. Gernot Walder GmbH	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
18712	Austria/CeMM0877/2020	EPI_ISL_583739	Dr. Gernot Walder GmbH	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
18713	Austria/CeMM0878/2020	EPI_ISL_583740	Dr. Gernot Walder GmbH	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
18714	Austria/CeMM0885/2020	EPI_ISL_583741	Dr. Gernot Walder GmbH	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
18715	Austria/CeMM0886/2020	EPI_ISL_583742	Dr. Gernot Walder GmbH	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
18716	Austria/CeMM0887/2020	EPI_ISL_583743	Dr. Gernot Walder GmbH	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
20100	Bangladesh/BCSIR-NILMRC-358/2020	EPI_ISL_514130	National Institute of Laboratory Medicine and Referral Center	Genomic Research Lab, BCSIR	Md. Murshed Hasan Sarkar et al
20270	Bangladesh/CHRF-0077/2020	EPI_ISL_768742	Child Health Research Foundation	Child Health Research Foundation	Senjuti Saha et al
20327	Bangladesh/CU-CTG-76/2020	EPI_ISL_735502	Abdul Malek Ukil Medical College, Noakhali	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology	H. M. Abdullah Al Masud et al
20465	Bangladesh/DNAS_DRCIM_isl_UMCH-1/2020	EPI_ISL_774965	Designated Reference Institute for Chemical Measurements (DRICM)	DNA SOLUTION LTD.	Md. Imran Khan et al
20557	Bangladesh/DNAS_isl_UMCH-1/2020	EPI_ISL_855012	NGS Lab, DNA SOLUTION LTD.	NGS Lab, DNA SOLUTION LTD.	Khan et al
20580	Bangladesh/G-134/2020	EPI_ISL_600480	Institute of Epidemiology Disease Control And Research	Institute for Developing Science and Health Initiatives	Lauren Cowley et al
20617	Bangladesh/GRBL_S10/2020	EPI_ISL_890192	Gonoshasthaya-RNA Research Center, Gonoshasthaya-RNA Molecular Diagnostics and Research Center	Gonoshasthaya-RNA Research Center, Gonoshasthaya-RNA Molecular Diagnostics and Research Center	Jamiruddin et al
20618	Bangladesh/GRBL_S11/2020	EPI_ISL_890193	Gonoshasthaya-RNA Research Center, Gonoshasthaya-RNA Molecular Diagnostics and Research Center	Gonoshasthaya-RNA Research Center, Gonoshasthaya-RNA Molecular Diagnostics and Research Center	Jamiruddin et al
20628	Bangladesh/GRMDRC-7/2020	EPI_ISL_775216	Gonoshasthya-RNA Molecular Research Center	Gonoshasthya-RNA Molecular Research Center	Mohd. Raeed Jamiruddin et al
20629	Bangladesh/GRMDRC-8/2020	EPI_ISL_775217	Gonoshasthya-RNA Molecular Research Center	Gonoshasthya-RNA Molecular Research Center	Nihad Adnan et al
20840	Belgium/AZDelta-23022/2021	EPI_ISL_954778	AZDelta	AZDelta	Geert Martens et al
20884	Belgium/AZDelta08178-2105R/2021	EPI_ISL_961203	AZDelta	AZDelta	Geert Martens et al
21049	Belgium/AZDelta24545-2105R/2021	EPI_ISL_978833	AZDelta	AZDelta	Geert Martens et al
22348	Belgium/ULG-10234/2020	EPI_ISL_498140	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
22350	Belgium/ULG-10236/2020	EPI_ISL_498142	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
22353	Belgium/ULG-10239/2020	EPI_ISL_498145	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
23041	Belgium/ULG-10929/2020	EPI_ISL_681270	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
23168	Belgium/ULG-11056/2020	EPI_ISL_722928	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
23285	Belgium/ULG-11173/2020	EPI_ISL_824809	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
23677	Belgium/ULG-11580/2021	EPI_ISL_959569	Labo Luc Olivier	GIGA Medical Genomics	Keith Durkin et al
24170	Belgium/UZA-UA-9917/2021	EPI_ISL_940779	Platform BIS UZA/UAntwerpen	UAntwerp, Laboratory of Medical Microbiology, Campus Drie Eiken S6.26, Universiteitsplein 1, 2610, Wilrijk, Belgium	Basil Britto Xavier et al
25009	Belgium/rega-10181090/2020	EPI_ISL_735130	UZ Leuven, National Reference Laboratory for Coronaviruses, Laboratory Medicine, Leuven, Belgium	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
25490	Belgium/rega-1698/2021	EPI_ISL_890322	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
25540	Belgium/rega-1755/2021	EPI_ISL_894207	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
25753	Belgium/rega-1993/2021	EPI_ISL_913777	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
25768	Belgium/rega-2009/2021	EPI_ISL_913799	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
25794	Belgium/rega-2035/2021	EPI_ISL_913835	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
26128	BosniaandHerzegovina/VFS-UNSA-LMGFI013/2020	EPI_ISL_955171	University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	Goletić Š. et al
26217	Brazil/AM-0203/2020	EPI_ISL_470570	Hermes Pardini	Bioinformatics Laboratory / LNCC	Alexandra Gerber et al
26219	Brazil/AM-0205/2020	EPI_ISL_470572	Hermes Pardini	Bioinformatics Laboratory / LNCC	Alexandra Gerber et al
26794	Brazil/PB-29651/2020	EPI_ISL_792638	LACEN-PB	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
27132	Brazil/RJ-00518/2020	EPI_ISL_717907	LACEN RJ - Noel Nutels	Bioinformatics Laboratory / LNCC	Carolina M Voloch et al
27134	Brazil/RJ-00520/2020	EPI_ISL_717908	LACEN RJ - Noel Nutels	Bioinformatics Laboratory / LNCC	Carolina M Voloch et al
27610	Brazil/RS-19337/2020	EPI_ISL_831689	Laboratório de Microbiologia Molecular - Universidade FEEVALE	Universidade Federal de Ciências da Saúde de Porto Alegre	Vinícius Bonetti Franceschi et al
28128	Brazil/SP-702/2020	EPI_ISL_693242	Centro de Vigilância a Saude de Diadema	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al
28314	Brazil/SP-BT6714/2020	EPI_ISL_888671	Instituto de Biotecnologia - UNESP-Botucatu-SP	Instituto de Biotecnologia - UNESP-Botucatu-SP	Leila Sabrina Ullmann et al
28369	Brazil/SP-HIAE-ID44/2020	EPI_ISL_861908	LATE - Laboratório de Técnicas Especiais - Hospital Israelita Albert Einstein	LATE - Laboratório de Técnicas Especiais - Hospital Israelita Albert Einstein	Deyvid Amgarten et al
28612	Brazil/SP-L31-CD803/2020	EPI_ISL_721987	Hospital das Clínicas Universidade de São Paulo Medical School	Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo	Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics et al
30810	Canada/BC-BCCDC-10132/2020	EPI_ISL_976558	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
30836	Canada/BC-BCCDC-10169/2020	EPI_ISL_976821	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
30920	Canada/BC-BCCDC-10424/2020	EPI_ISL_975659	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
31027	Canada/BC-BCCDC-13529/2021	EPI_ISL_982299	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32224	Canada/BC-BCCDC-4750/2020	EPI_ISL_968493	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32428	Canada/BC-BCCDC-4990/2020	EPI_ISL_971374	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32433	Canada/BC-BCCDC-4995/2020	EPI_ISL_973479	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32450	Canada/BC-BCCDC-5017/2020	EPI_ISL_973649	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32553	Canada/BC-BCCDC-5138/2020	EPI_ISL_971199	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32603	Canada/BC-BCCDC-5202/2020	EPI_ISL_973755	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32683	Canada/BC-BCCDC-5294/2020	EPI_ISL_970674	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32853	Canada/BC-BCCDC-5511/2020	EPI_ISL_974107	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32900	Canada/BC-BCCDC-5574/2020	EPI_ISL_974131	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32912	Canada/BC-BCCDC-5589/2020	EPI_ISL_973859	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
32919	Canada/BC-BCCDC-5597/2020	EPI_ISL_973947	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33304	Canada/BC-BCCDC-6141/2020	EPI_ISL_974271	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33305	Canada/BC-BCCDC-6142/2020	EPI_ISL_974296	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33306	Canada/BC-BCCDC-6145/2020	EPI_ISL_974386	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33312	Canada/BC-BCCDC-6151/2020	EPI_ISL_974419	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33390	Canada/BC-BCCDC-6248/2020	EPI_ISL_974241	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33393	Canada/BC-BCCDC-6253/2020	EPI_ISL_974254	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33400	Canada/BC-BCCDC-6262/2020	EPI_ISL_974300	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33412	Canada/BC-BCCDC-6277/2020	EPI_ISL_974394	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33413	Canada/BC-BCCDC-6280/2020	EPI_ISL_974420	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33414	Canada/BC-BCCDC-6281/2020	EPI_ISL_974421	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33415	Canada/BC-BCCDC-6282/2020	EPI_ISL_974422	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33416	Canada/BC-BCCDC-6283/2020	EPI_ISL_974423	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33421	Canada/BC-BCCDC-6288/2020	EPI_ISL_974048	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33446	Canada/BC-BCCDC-6315/2020	EPI_ISL_974182	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33454	Canada/BC-BCCDC-6324/2020	EPI_ISL_974215	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33455	Canada/BC-BCCDC-6325/2020	EPI_ISL_974216	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33744	Canada/BC-BCCDC-6735/2020	EPI_ISL_974656	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33862	Canada/BC-BCCDC-6901/2020	EPI_ISL_974244	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33873	Canada/BC-BCCDC-6915/2020	EPI_ISL_974279	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
33932	Canada/BC-BCCDC-6998/2020	EPI_ISL_974282	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
34500	Canada/BC-BCCDC-7831/2020	EPI_ISL_974661	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
34776	Canada/BC-BCCDC-8217/2020	EPI_ISL_975482	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
35066	Canada/BC-BCCDC-8638/2020	EPI_ISL_975729	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
35225	Canada/BC-BCCDC-8850/2020	EPI_ISL_976183	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
35467	Canada/BC-BCCDC-9203/2020	EPI_ISL_975993	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
35593	Canada/BC-BCCDC-9387/2020	EPI_ISL_976568	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
35849	Canada/BC-BCCDC-9810/2020	EPI_ISL_976815	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
35868	Canada/BC-BCCDC-9833/2020	EPI_ISL_974630	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
35891	Canada/BC-BCCDC-9862/2020	EPI_ISL_975650	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
35900	Canada/BC-BCCDC-9874/2020	EPI_ISL_975816	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
35922	Canada/BC-BCCDC-9899/2020	EPI_ISL_976547	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
35969	Canada/BC-BCCDC-9958/2020	EPI_ISL_975034	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
36603	Canada/LTRI-1014/2020	EPI_ISL_848188	Microbiology Lab	NBCC Sequencing Facility	Dr. Jeff Wrana et al
36898	Canada/MB-NML-16333/2021	EPI_ISL_979316	Cadham Provincial laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
36905	Canada/MB-NML-16359/2021	EPI_ISL_979323	Cadham Provincial laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
36907	Canada/MB-NML-16361/2021	EPI_ISL_979325	Cadham Provincial laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
36908	Canada/MB-NML-16362/2021	EPI_ISL_979326	Cadham Provincial laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
36915	Canada/MB-NML-2812/2020	EPI_ISL_935879	Cadham Provincial laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
36954	Canada/MB-NML-2859/2020	EPI_ISL_935918	Cadham Provincial laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
37005	Canada/MB-NML-2929/2020	EPI_ISL_935969	Cadham Provincial laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
37287	Canada/NB-NML-6327/2021	EPI_ISL_961609	Hôpital Georges L. Dumont	National Microbiology Laboratory (NML)	Anna Majer et al
37904	Canada/ON-A42/2020	EPI_ISL_792067	Toronto Invasive Bacterial Diseases Network	McMaster University	David Richardson et al
37936	Canada/ON-CVD01196/2020	EPI_ISL_586275	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
38033	Canada/ON-LHSC32/2020	EPI_ISL_854793	Ontario's COVID-19 Genomics Rapid Response Coalition	McMaster University	Ana Cabrera et al
38148	Canada/ON-OICR-SLB2814/2020	EPI_ISL_538342	Kingston Health Sciences Centre / Queen's University	Ontario Institute for Cancer Research	Prameet M. Sheth et al
38149	Canada/ON-OICR-SLB2815/2020	EPI_ISL_538343	Kingston Health Sciences Centre / Queen's University	Ontario Institute for Cancer Research	Prameet M. Sheth et al
38165	Canada/ON-OICR-SLB2835/2020	EPI_ISL_538359	Kingston Health Sciences Centre / Queen's University	Ontario Institute for Cancer Research	Prameet M. Sheth et al
38174	Canada/ON-OICR-SLB2848/2020	EPI_ISL_538368	Kingston Health Sciences Centre / Queen's University	Ontario Institute for Cancer Research	Prameet M. Sheth et al
38178	Canada/ON-OICR-SLB2853/2020	EPI_ISL_538372	Kingston Health Sciences Centre / Queen's University	Ontario Institute for Cancer Research	Prameet M. Sheth et al
38184	Canada/ON-OICR-SLB2859/2020	EPI_ISL_538378	Kingston Health Sciences Centre / Queen's University	Ontario Institute for Cancer Research	Prameet M. Sheth et al
38187	Canada/ON-OICR-SLB2864/2020	EPI_ISL_538381	Kingston Health Sciences Centre / Queen's University	Ontario Institute for Cancer Research	Prameet M. Sheth et al
39953	Canada/ON-PPS-00164/2020	EPI_ISL_853137	Toronto Invasive Bacterial Diseases Network	Ontario Institute for Cancer Research	Allison McGeer et al
39981	Canada/ON-PPS-00192/2020	EPI_ISL_853219	Toronto Invasive Bacterial Diseases Network	Ontario Institute for Cancer Research	Allison McGeer et al
40004	Canada/ON-PPS-00216/2020	EPI_ISL_853236	Toronto Invasive Bacterial Diseases Network	Ontario Institute for Cancer Research	Allison McGeer et al
40008	Canada/ON-PPS-00220/2020	EPI_ISL_853223	Toronto Invasive Bacterial Diseases Network	Ontario Institute for Cancer Research	Allison McGeer et al
40025	Canada/ON-PPS-00237/2020	EPI_ISL_853247	Toronto Invasive Bacterial Diseases Network	Ontario Institute for Cancer Research	Allison McGeer et al
40059	Canada/ON-PPS-00271/2020	EPI_ISL_853255	Toronto Invasive Bacterial Diseases Network	Ontario Institute for Cancer Research	Allison McGeer et al
40125	Canada/ON-PPS-00338/2020	EPI_ISL_853567	Toronto Invasive Bacterial Diseases Network	Ontario Institute for Cancer Research	Allison McGeer et al
40180	Canada/ON-PPS-00393/2020	EPI_ISL_853586	Toronto Invasive Bacterial Diseases Network	Ontario Institute for Cancer Research	Allison McGeer et al
40233	Canada/ON-PPS-21012021_0016/2021	EPI_ISL_982819	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40329	Canada/ON-PPS-21012021_0160/2021	EPI_ISL_983175	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40344	Canada/ON-PPS-21012021_0181/2021	EPI_ISL_983187	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40355	Canada/ON-PPS-21012021_0195/2021	EPI_ISL_983191	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40380	Canada/ON-PPS-21012021_0230/2021	EPI_ISL_983173	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40403	Canada/ON-PPS-21012021_0256/2021	EPI_ISL_982938	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40426	Canada/ON-PPS-21012021_0287/2021	EPI_ISL_982941	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40427	Canada/ON-PPS-21012021_0288/2021	EPI_ISL_982977	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40429	Canada/ON-PPS-21012021_0291/2021	EPI_ISL_982981	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40437	Canada/ON-PPS-21012021_0299/2021	EPI_ISL_982960	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40439	Canada/ON-PPS-21012021_0302/2021	EPI_ISL_982943	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40448	Canada/ON-PPS-21012021_0314/2021	EPI_ISL_983011	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40470	Canada/ON-PPS-21012021_0341/2021	EPI_ISL_982954	University Health Network/Mount Sinai Hospital Department of Microbiology	Ontario Institute for Cancer Research	Marie-Ming Aynaud et al
40752	Canada/ON-S1800/2020	EPI_ISL_729272	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
40754	Canada/ON-S1802/2020	EPI_ISL_729274	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
40755	Canada/ON-S1803/2020	EPI_ISL_729275	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
40863	Canada/ON-S1964/2020	EPI_ISL_755680	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
40870	Canada/ON-S1972/2020	EPI_ISL_755686	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
40880	Canada/ON-S1982/2020	EPI_ISL_755695	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
40891	Canada/ON-S1995/2020	EPI_ISL_755705	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
40915	Canada/ON-S2037/2020	EPI_ISL_792087	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
40934	Canada/ON-S2130/2021	EPI_ISL_961387	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
40953	Canada/ON-S2148/2021	EPI_ISL_961405	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
41030	Canada/ON-S2365/2021	EPI_ISL_961356	Toronto Invasive Bacterial Diseases Network	McMaster University	Allison McGeer et al
